A: wawa
B: wawA
C: waWa
D: waWA
E: wAwa
F: wAwA
G: wAWa
H: wAWA
I: Wawa
J: WawA
K: WaWa
L: WaWA
M: WAwa
N: WAwA
O: WAWa
P: WAWA
Q: waaa
R: waaA
S: waAa
T: waAA
U: wAaa
V: wAaA
W: wAAa
X: wAAA
Y: Waaa
Z: WaaA
1: WaAa
2: WaAA
3: WAaa
4: WAaA
5: WAAa
6: WAAA
7: waww
8: wawW
9: waWw
0: waWW
:: wAww
;: wAwW
": wAWw
\: wAWW
/: Waww
,: WawW
.: WaWw
!: WaWW
@: WAww
#: WAwW
$: WAWw
%: WAWW
^: wwaa
&: wwaA
*: wwAa
(: wwAA
): wWaa
[: wWaA
]: wWAa
{: wWAA
}: Wwaa
': WwaA
+: WwAa
-: WwAA
=: WWaa
`: WWaA
~: WWAa
>: WWAA
<: waaw
?: waaW
…: waAw
a: waAW
b: wAaw
c: wAaW
d: wAAw
e: wAAW
f: Waaw
g: WaaW
h: WaAw
i: WaAW
j: WAaw
k: WAaW
l: WAAw
m: WAAW
n: aaaw
o: aaaW
p: aaAw
q: aaAW
r: aAaw
s: aAaW
t: aAAw
u: aAAW
v: Aaaw
w: AaaW
x: AaAw
y: AaAW
z: AAaw
∞: AAaW
™: AAAw
: AAAW
⁰: awaW
¹: awAw
²: awAW
³: aWaw
⁴: aWaW
⁵: aWAw
⁶: aWAW
⁷: Awaw
⁸: AwaW
⁹: AwAw
ⁿ: AwAW
ⁱ: AWaw
⁺: AWaW
⁻: AWAw
⁼: AWAW
|: aaww
π: aawW
░: aaWw
▒: aaWW
▓: aAww
█: aAwW
©: aAWw
®: aAWW
°: Aaww
ƒ: AawW
×: AaWw
«: AaWW
»: AAww
÷: AAwW
Ø: AAWw
    : awaw
 :  

every letter is combined in one word and each new word is spaced out, since every word is just four letters you start from the beggining of the word and move forward to read it, or you could just use the encoder+decoder
